institution,title,department,employment_type,posted_date,deadline,deadline_type,deadline_raw,url,reference,subjects,score,matches,first_seen,last_seen,status,description
CUHK,Professional Consultant(s),Faculty of Law,unknown,,,until-filled,"Closing Date: Until the post is filled The Faculty of Law at The Chinese University of Hong Kong (CUHK LAW) is among the most dynamic and accomplished law schools in Asia. Since welcoming its inaugural cohort in 2006, CUHK LAW has experienced remarkable growth, both in scale and international stature. With a strong global outlook, our academic staff represent nearly twenty jurisdictions through their origins or training. CUHK LAW is now inviting ",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=260000S0&lang=en,260000S0,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: Faculty of Law
Closing Date: Until the post is filled
The Faculty of Law at The Chinese University of Hong Kong (CUHK LAW) is among the most dynamic and accomplished law schools in Asia. Since welcoming its inaugural cohort in 2006, CUHK LAW has experienced remarkable growth, both in scale and international stature. With a strong global outlook, our academic staff represent nearly twenty jurisdictions through their origins or training.
CUHK LAW is now inviting applications for appointment(s) as Professional Consultant(s). Professional Consultants primarily focus on teaching courses in the Postgraduate Certificate in Laws (PCLL) programme, as well as core and elective common law subjects in the LLB, JD, and LLM programmes.
Applicants should possess: (i) a law degree from a recognized university and/or a relevant professional qualification for legal practice; (ii) at least two years of post-qualification experience as a solicitor or barrister in Hong Kong, or its equivalent in another common law jurisdiction; and (iii) experience in teaching law or demonstrable aptitude for legal education.
Candidates with expertise in the following areas are of particular interest: Writing and Drafting Commercial Documents (English and Chinese), Commercial Practice, China Practice, and Banking and Finance. Applications from highly qualified individuals with other areas of expertise may also be considered.
The appointee(s) will perform duties assigned by the Faculty Dean, including but not limited to: (a) teaching at the CUHK Graduate Law Centre in Central and the CUHK campus in Shatin; (b) contributing to curriculum development and supporting programme administration; (c) serving as academic advisor(s) to students; and (d) undertaking administrative duties and providing service to CUHK LAW, the College, and/or the University, as appropriate.
The appointment(s) will initially be made on a contract basis for up to three years, renewable subject to mutual agreement and satisfactory performance.
Applicants are required to complete the online application form and upload the following documents: a full curriculum vitae; a statement of teaching philosophy and/or methodology (maximum 2 pages); copies of qualification documents; and contact details of three referees who have agreed to provide references. Applicants with current or prior law school teaching experience should also include teaching evaluations. All applications will be treated with the strictest confidence.
CUHK LAW is firmly committed to fostering diversity and warmly encourages applications from candidates whose backgrounds and experiences will enrich the diversity of our faculty. Further details about CUHK LAW can be found at http://www.cuhk.edu.hk/law .
Applications will be considered on a rolling basis until the relevant teaching needs of the Faculty have been met. We regret that we will only be able to contact candidates selected for further consideration.
The University only accepts and considers applications submitted online for the post above via the CUHK career site. For more information and to apply online, please visit http://career.cuhk.edu.hk ."
CUHK,Professor(s) / Associate Professor(s),Department of Management,unknown,,,until-filled,"Closing Date: Until the position(s) is/ are filled The Department of Management at the CUHK Business School is now inviting applications for faculty position(s) at the Professor/ Associate Professor levels commencing in 202 7 . Applications are invited from qualified scholars with expertise in macro management (e.g., strategy, innovation, entrepreneurship, international business, family business, sustainability, etc.) or micro management (e.g., o",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=260000X9&lang=en,260000X9,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: Department of Management
Closing Date: Until the position(s) is/ are filled
The Department of Management at the CUHK Business School is now inviting applications for faculty position(s) at the Professor/ Associate Professor levels commencing in 202 7 . Applications are invited from qualified scholars with expertise in macro management (e.g., strategy, innovation, entrepreneurship, international business, family business, sustainability, etc.) or micro management (e.g., organizational behavior, leadership, human resource management, etc.).
Applicants should possess (i) a PhD degree in management or a related discipline; (ii) excellent teaching performance, particularly in delivering graduate courses; (iii) a sound track record of publications in top-tier journals; and (iv) strong commitment to service at Faculty and Departmental levels. The appointee(s) will teach courses mainly at the graduate level, such as MBA, EMBA, DBA and MSc courses; publish high-quality scholarly research; and participate in academic and professional activities. He/she is expected to actively bid for competitive external funding support for research endeavors.
Appointment will commence in 202 7 . Appointment will normally be made on contract basis for up to three years initially, which, subject to mutual agreement, may lead to longer-term appointment or substantiation.
Salary and Fringe Benefits
Salary will be highly competitive, commensurate with qualifications and experience. The University offers a comprehensive fringe benefit package, including medical care and housing benefits for eligible appointee(s).
About the Department of Management
The Department of Management offers three specialized concentrations in Entrepreneurship (ENT), Human Resource Management (HRM), and Management of International Business (MIB) in the Integrated BBA Programme, and two Master’s Programmes in Management and Sustainable Global Business. Our competitive curriculum equips students with cutting-edge knowledge in management, a global outlook, an innovative spirit, and a strong sense of social responsibility and integrity, enabling future business leaders to lead transformative initiatives worldwide. For more information about the Department, please visit our website at https://www.bschool.cuhk.edu.hk/departments/management/ .
About CUHK Business School
The CUHK Business School is a leading business school and a pioneer in business education in Hong Kong. Since its establishment in Hong Kong in 1963, the CUHK Business School has gained world recognition of nurturing business leaders with immense contributions in the Asia Pacific.
The Business School has been offering a comprehensive range of undergraduate and postgraduate programmes (MBA, MSc, MAcc, EMBA, DBA, MPhil, PhD) with over 6,500 students from 30+ countries/regions, as well as executive education programmes. It has one of the most extensive alumni networks in the region, with over 4 9 ,000 alumni around the world. It comprises two Schools and four Departments:
Schools
- Accountancy
- Hotel & Tourism Management
Departments
- Finance
- Decisions, Operations and Technology
- Management
- Marketing
Application Procedure
Applicants should submit the application package online via the CUHK career site (including a completed on-line application form, full resume, publication list, and evidence of teaching excellence, if any), and provide names and email addresses of at least three referees for providing reference.
The University only accepts and considers applications submitted online for the post above via the CUHK career site. For more information and to apply online, please visit http://career.cuhk.edu.hk .
Review of applications will be conducted on a rolling basis and will continue until the position(s) is/are filled. For enquiries, please contact the Department of Management via mgt@cuhk.edu.hk .
Interested scholars are welcome to connect with Department colleagues at upcoming major conferences to learn more about the Department. These include the 2026 AOM Conference (Philadelphia, US), the Department’s AOM Reception (Philadelphia Marriott Downtown, evening of 2 August), and the 2026 AIB Conference (Manchester, UK)."
CUHK,Professors/ Associate Professors/ Assistant Professors,Department of Mathematics,unknown,,,until-filled,"Closing date: Until the posts are filled Founded in 1963, The Chinese University of Hong Kong (CUHK) is a forward-looking comprehensive research university with a global vision and a mission to combine tradition with modernity, and to bring together China and the West. The Department of Mathematics in CUHK has developed a strong reputation in teaching and research. Many of the faculty members are internationally renowned and are recipients of pre",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=250001SJ&lang=en,250001SJ,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: Department of Mathematics
Closing date: Until the posts are filled
Founded in 1963, The Chinese University of Hong Kong (CUHK) is a forward-looking comprehensive research university with a global vision and a mission to combine tradition with modernity, and to bring together China and the West. The Department of Mathematics in CUHK has developed a strong reputation in teaching and research. Many of the faculty members are internationally renowned and are recipients of prestigious awards and honours. The graduates are successful in both academia and industry. The Department is highly ranked internationally, e.g., it is 66th, 63rd and 42nd in the 2023, 2024 and 2025 QS World University Rankings, and 42nd, 56th and 51st in the 2023, 2024 and 2025 US News Rankings, respectively.
The Department is now inviting applications for substantiable-track faculty posts at all the academic levels, with the opportunity for a joint appointment between the Department and The Institute of Mathematical Sciences. Applicants should have (i) a relevant PhD degree in mathematics or related disciplines; (ii) an established track record in research, including publications; and (iii) a demonstrated commitment to excellence in teaching.
Appointment will normally be made on contract basis for up to three years initially commencing August 2026, which, subject to mutual agreement, may lead to substantiation or longer-term appointment later.
Applicants please upload a full resume and attach copies of academic credentials, together with names and e-mail addresses of at least four referees (at least three on research and one on teaching) to whom the applicants' consent has been given for their providing references. Review of applications will begin on December 1, 2025 and will continue until the positions are filled."
CUHK,Assistant Professor (Clinical),Accident and Emergency Medicine Academic Unit,unknown,,2026-10-09,closing,"Closing Date: October 9, 2026 The Accident and Emergency Medicine Academic Unit was established in 1995 and was the first academic unit dedicated to the development and teaching of emergency medicine in Hong Kong and Asia. Further information about the unit is available at https://www.med.cuhk.edu.hk/about-us/schools-departments-and-unit/accident-and-emergency-medicine-academic-unit Applicants should (i) have a medical qualification (approved for",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=260001LY&lang=en,260001LY,,0,False,2026-09-17T04:57:59+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: Accident and Emergency Medicine Academic Unit
Closing Date: October 9, 2026
The Accident and Emergency Medicine Academic Unit was established in 1995 and was the first academic unit dedicated to the development and teaching of emergency medicine in Hong Kong and Asia. Further information about the unit is available at https://www.med.cuhk.edu.hk/about-us/schools-departments-and-unit/accident-and-emergency-medicine-academic-unit
Applicants should (i) have a medical qualification (approved for full registration with The Medical Council of Hong Kong, or in the case of overseas graduates, a medical qualification that would be eligible for limited registration by the Medical Council of Hong Kong; (ii) have a specialist qualification in emergency medicine; and (iii) be a high-calibre clinical emergency physician with significant recent experience of teaching and research in emergency medicine.
The appointee will (a) teach undergraduate and postgraduate students; (b) provide clinical service; (c) undertake research; and (d) contribute substantially to the development of emergency medicine in Hong Kong and beyond. The appointees will work at the Prince of Wales Hospital in Shatin, Hong Kong.
Appointment will normally be made on contract basis of up to three years initially commencing August 2027, which, subject to mutual agreement, may lead to longer-term appointment or substantiation later. Salary and fringe benefits will be highly competitive, commensurate with qualifications and experience.
Applicants should apply with (i) an executive summary outlining your most outstanding accomplishments, including grants and qualifications; (ii) an up-to-date CV with a publication list highlighting your best publications in the last five years; and (iii) a one-page description of your future research and career plans for the next three years, together with the names, addresses and e-mail addresses of three referees who have agreed to provide references.
The University only accepts and considers applications submitted online for the post above via the CUHK career site. For more information and to apply online, please visit http://career.cuhk.edu.hk ."
CUHK,Teaching Assistant,School of Hotel and Tourism Management,unknown,,,until-filled,"Closing date: Until the position is filled The School of Hotel and Tourism Management, CUHK Business School, is inviting applications for the position of Teaching Assistant. Applicants should have:",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=26000170&lang=en,26000170,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: School of Hotel and Tourism Management
Closing date: Until the position is filled
The School of Hotel and Tourism Management, CUHK Business School, is inviting applications for the position of Teaching Assistant.
Applicants should have:
(i) a good Bachelor's degree preferably in Hospitality, Business, Marketing, and Real Estate / Finance. Other majors will be considered as well;
(ii) excellent communication skills in written and spoken English, as well as spoken Chinese (Cantonese and/or Mandarin);
(iii) good people skill and proactive work attitude;
(iv) the ability to assist in tutorials, laboratory/practical classes, compilation of course materials, and other academic activities under guidance; and
(v) proficiency in Microsoft Office (e.g. Word, Excel, PowerPoint) and on-line teaching tactics.
Skills in programming and using statistical software such as SPSS, R or Python and survey software such as Qualtrics will be a bonus. Relevant work experience, including internship, will also be an advantage.
The appointee will support course teacher in daily pre-course planning, coordinate teaching and student related activities, perform teaching-related administrative tasks using various platforms (Blackboard, Veriguide, CATME, Mural, Socrative, Kahoot etc). He/she will also work with other administrative staff in the department to support various school events / student activities.
In addition to completing the application via the CUHK Career platform with supporting documents (such as academic certificates), please upload a cover letter explaining why you are interested in this position.
Appointment will initially be made on contract basis for two years commencing August 2026, renewable subject to performance and mutual agreement."
CUHK,Senior Lecturer/ Lecturer in Curriculum Studies,Department of Curriculum and Instruction,unknown,,,until-filled,"Closing Date: Until the position is filled The Department of Curriculum and Instruction under the Faculty of Education at The Chinese University of Hong Kong (CUHK) is a dynamic centre in the Asia-Pacific region for teaching and research in the broad areas of curriculum and instruction. In addition to Faculty-based undergraduate teacher education, Postgraduate Diploma in Education, Master of Education, Doctor of Education and PhD programmes, the ",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=2600004T&lang=en,2600004T,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: Department of Curriculum and Instruction
Closing Date: Until the position is filled
The Department of Curriculum and Instruction under the Faculty of Education at The Chinese University of Hong Kong (CUHK) is a dynamic centre in the Asia-Pacific region for teaching and research in the broad areas of curriculum and instruction. In addition to Faculty-based undergraduate teacher education, Postgraduate Diploma in Education, Master of Education, Doctor of Education and PhD programmes, the Department offers several Master of Arts/ Science programmes as well as research supervision across a range of subject areas. The Faculty of Education of CUHK is an international centre for professional training and research in education. Detailed information about the Faculty of Education and the Department is available at http://www.fed.cuhk.edu.hk/ .
The Department invites applications for a full-time appointment as Senior Lecturer/ Lecturer in Curriculum Studies.
For Senior Lecturer, applicants should have (i) a relevant doctoral degree; and (ii) at least 8 years of post-doctoral relevant experience. Evidence of research and scholarly activities is also generally expected.
For Lecturer, applicants should have (i) a Master’s degree (preferably a doctoral degree in a relevant discipline); and (ii) at least 4 years of post-Master relevant experience. Applicants who possess a doctoral degree with less experience will also be considered.
Applicants should also have (a) a strong track record in teaching; (b) extensive professional experience, leadership services to schools and the education community; (c) good knowledge of the education systems of Hong Kong and its neighbouring communities; and (d) strong commitment to excellence in teaching. A good track record of pedagogical research and an initial record of refereed publications are added advantages.
The appointee will be responsible for curriculum development and teaching teacher education and higher degree programmes offered by the Faculty of Education. Supervision of teaching practice is also required.
Appointment will initially be made on a contract basis for up to two years, renewable subject to performance and mutual agreement.
Application Procedure
The University only accepts and considers applications submitted online for the post above via the CUHK career site. Applicants should complete the online application form and upload a full curriculum vitae with details of three referees.
Review of applications will start on March 16, 2026. Applications will be considered until the position is filled.
For more information and to apply online, please visit http://career.cuhk.edu.hk ."
CUHK,Research Assistant Professor,Department of Electronic Engineering,unknown,,,until-filled,Closing Date: Until the post is filled The Department of Electronic Engineering (EE) at the Chinese University of Hong Kong (CUHK) is seeking outstanding candidates for Research Assistant Professorship (RAP). RESEARCH AREA OF INTEREST,https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=260001HL&lang=en,260001HL,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/Unit: Department of Electronic Engineering
Closing Date: Until the post is filled
The Department of Electronic Engineering (EE) at the Chinese University of Hong Kong (CUHK) is seeking outstanding candidates for Research Assistant Professorship (RAP).
RESEARCH AREA OF INTEREST
The research focuses on advancing neuromorphic/physical computing, optical signal processing, integrated photonics. The research encourages interdisciplinary approaches that integrate photonics with artificial intelligence, and machine learning, communication systems and networks with the goal of developing new computing and signal-processing paradigms for next-generation intelligent systems.
Applicants should have:
(i) a PhD in Electronic Engineering, Optoelectronic Engineering, Computer Engineering, or a related discipline;
(ii) a strong track record of research and publications in reputable journals and conferences;
(iii) excellent communication and interpersonal skills;
(iv) potential to become an independent researcher in obtaining future/sustained extramural funding and establishing significant externally-funded research programmes;
The appointee will work closely with Prof. Chaoran Huang in the Department to enhance the existing strengths. The appointee is expected to:
(a) be able to have top-tier research outputs and apply for RGC GRF grants and similar external competitive grants;
(b) undertake some teaching duties at undergraduate and postgraduate levels; and
(c) provide service at departmental, faculty and/or university levels.
HOW TO APPLY
To apply, please upload a full resume, copies of academic credentials, a publication list with soft copies of the five most representative publications, details of courses taught and evaluation results (if available), a research plan, a teaching statement, and the names and contact information of three to five referees.
Appointment will initially be made on contract basis for up to three years, renewable subject to performance, funding availability and mutual agreement. Review of applications will begin as soon as possible and only shortlisted applicants will be notified. Applications will be accepted until the post is filled.
Further information about the Department is available at http://www.ee.cuhk.edu.hk/ ."
CUHK,Professor / Associate Professor (Landscape Architecture) ,School of Architecture,unknown,,,until-filled,"(Ref. 240001HB) Closing Date: Until the post is filled. The Chinese University of Hong Kong is one of the world’s leading universities. Its location makes it one of the most exciting places to research and teach architecture. The School of Architecture has a world-class, research-led, and professionally connected learning environment. It embraces new approaches to architectural education and cross-disciplinary research that impact on society and ",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=240001HB&lang=en,240001HB,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"School of Architecture
Professor / Associate Professor (Landscape Architecture)
(Ref. 240001HB) Closing Date: Until the post is filled.
The Chinese University of Hong Kong is one of the world’s leading universities. Its location makes it one of the most exciting places to research and teach architecture. The School of Architecture has a world-class, research-led, and professionally connected learning environment. It embraces new approaches to architectural education and cross-disciplinary research that impact on society and the profession.
The School of Architecture at the Chinese University of Hong Kong is seeking an outstanding candidate to provide academic leadership for its new Master of Landscape Architecture (MLA) Programme. Applicants should possess (i) a PhD degree in Landscape Architecture, Planning, Architecture, Environmental Studies or a related discipline. Applicants with international recognition in the field will be highly appreciated.
Preference will be given to candidates with an active research agenda and/or design practice that addresses pressing environmental, ecological and urban challenges in the Asian region. We are particularly interested in candidates who can contribute to the development of interdisciplinary research and teaching that connect landscape architecture with allied built environment disciplines, including, but not limited to, Architecture, Urban Design and Planning.
Appointments will normally made on a contract basis for up to three years initially commencing August 2025, which, subject to performance, funding availability and mutual agreement, may lead to a longer-term appointment or substantiation later. Outstanding candidates may be considered for substantive appointment upon initial appointment.
To apply for the post, please complete the online application form, and submit a letter of interest, CV, portfolio, teaching statement, research statement, together with names/ e-mail addresses of three referees with consent for providing references. Appointment level and salary will be commensurate with the applicant’s qualifications and experience.
The CUHK School of Architecture is actively building a more diverse and inclusive environment. Qualified individuals from underrepresented sections of society are encouraged to apply. Enquiries may be directed to Ms. Sylvia Kwok, School Manager at arc.appointment@cuhk.edu.hk
Review of applications and shortlisting will start in July / August 2024 until the post is filled."
CUHK,Clinical Professional Consultant,The Jockey Club School of Public Health and Primary Care,unknown,,,until-filled,"Closing Date: Until the post is filled The Jockey Club School of Public Health and Primary Care is a leading institution in the Asia-Pacific region, dedicated to advancing excellence in public health and primary care through innovative education, impactful research, and meaningful community engagement. The School fosters strong international partnerships with schools of public health, government bodies, and centres for disease control in Mainland",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=2600014W&lang=en,2600014W,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: The Jockey Club School of Public Health and Primary Care
Closing Date: Until the post is filled
The Jockey Club School of Public Health and Primary Care is a leading institution in the Asia-Pacific region, dedicated to advancing excellence in public health and primary care through innovative education, impactful research, and meaningful community engagement. The School fosters strong international partnerships with schools of public health, government bodies, and centres for disease control in Mainland China and beyond. For more information, please visit http://www.sphpc.cuhk.edu.hk .
We are now seeking a motivated and forward-thinking individual to join us as a Clinical Professional Consultant in Family Medicine or Public Health Medicine. A courtesy title of Associate Professor of Practice in a related clinical specialty may be granted to appointee, subject to their professional qualifications and recognized clinical experience within the field.
Applicants should possess:
(i) a medical qualification registrable with the Medical Council of Hong Kong;
(ii) at least three years of relevant experience in family medicine, primary care, health services, or related fields; a recognized higher professional qualification in family medicine will be an advantage;
(iii) strong strategic thinking and planning abilities, a proactive and collaborative work ethic, and well-developed problem-solving skills;
(iv) experience in teaching at the tertiary level, with a passion for nurturing future healthcare professionals; and
(v) professional proficiency in written and spoken English and Chinese (Cantonese). Proficiency in Putonghua will be an advantage.
The appointee will play a key role in shaping medical education and will be responsible for:
(a) delivering high-quality teaching and providing student supervision;
(b) contributing to and coordinating the development of innovative teaching and training curricula, with a particular focus on medical programmes; and
(c) undertaking other academic and administrative duties as required.
This is an excellent opportunity to contribute to a dynamic academic environment and to influence the development of future leaders in primary care and public health. The appointment will be offered on a contract basis for up to three years, commencing as soon as possible, with the possibility of renewal subject to performance and mutual agreement.
The University only accepts and considers applications submitted online for the post above via the CUHK career site. For more information and to apply online, please visit http://career.cuhk.edu.hk ."
CUHK,Professors/ Associate Professors/ Assistant Professors,Zhizhen School of Interdisciplinary Mathematical Sciences,unknown,,,until-filled,"Closing date: Until the posts are filled Founded in 1963, The Chinese University of Hong Kong (CUHK) is a forward-looking comprehensive research university with a global vision and a mission to combine tradition with modernity, and to bring together China and the West. CUHK has established the Zhizhen School of Interdisciplinary Mathematical Sciences (""Zhizhen School"" or ""the School""). It aims to cultivate mathematical science talent in Hong Kong",https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=250000QR&lang=en,250000QR,,0,False,2026-09-05T09:20:45+00:00,2026-09-23T04:51:00+00:00,open,"Department/ Unit: Zhizhen School of Interdisciplinary Mathematical Sciences
Closing date: Until the posts are filled
Founded in 1963, The Chinese University of Hong Kong (CUHK) is a forward-looking comprehensive research university with a global vision and a mission to combine tradition with modernity, and to bring together China and the West.
CUHK has established the Zhizhen School of Interdisciplinary Mathematical Sciences (""Zhizhen School"" or ""the School""). It aims to cultivate mathematical science talent in Hong Kong, aligning with the national aspiration to building China into a leading country in education, as well as the 14th Five-Year Plan’s vision of strengthening basic research. This also aligns with the aspiration in the Hong Kong Special Administrative Region government’s policy address to develop Hong Kong as an international hub for post-secondary education and establish the “Study in Hong Kong” brand. Professor Shing-tung Yau is the Founding Director of Zhizhen School.
The School will offer an eight-year training programme similar to that of Qiuzhen College in Tsinghua University which includes three years of mathematical foundation training, two years of scientific research training and three years of doctoral training. Students who fulfil the general academic and whole-person education graduation requirements will be awarded CUHK Bachelor and PhD degrees. The School will build a team of world-class scholars, who will participate in high-level scientific research, lead various academic activities of the School, and also be responsible for teaching and supervising students and postdoctoral fellows.
The School is now inviting applications for substantiable-track faculty posts at all the academic levels.
Applicants should have (i) a relevant PhD degree in mathematics or related disciplines; (ii) an established track record in research, including publications; and (iii) a demonstrated commitment to excellence in teaching.
Appointments will normally be made on contract basis for up to three years initially commencing August 2025, which, subject to mutual agreement, may lead to substantiation or longer-term appointment later.
Applicants please upload a full resume and attach copies of academic credentials, together with names and e-mail addresses of three to five referees (at least two on research and one on teaching) to whom the applicants' consent has been given for their providing references.
Review of applications will begin on May 15, 2025, and will continue until the positions are filled."
